date,actual_regime,actual_regime_probability,predicted_regime,brier,test_type,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY,prob_delta_MID_CYCLE,prob_acceleration_MID_CYCLE,prob_trend_MID_CYCLE,prob_delta_LATE_CYCLE,prob_acceleration_LATE_CYCLE,prob_trend_LATE_CYCLE,prob_delta_BUST,prob_acceleration_BUST,prob_trend_BUST,prob_delta_RECOVERY,prob_acceleration_RECOVERY,prob_trend_RECOVERY
2018-01-02,LATE_CYCLE,0.09358505716851195,MID_CYCLE,1.2009248646295156,VALIDATION,0.45021234255683606,0.09358505716851195,0.03759505824206023,0.4186075420325917,0.0,0.0,FLAT,0.0,0.0,FLAT,0.0,0.0,FLAT,0.0,0.0,FLAT
2018-01-03,LATE_CYCLE,0.03626695409732328,MID_CYCLE,1.3949811229449502,VALIDATION,0.5429066780293674,0.03626695409732328,0.00681472841390855,0.4140116394594008,0.0926943354,0.0,RISING,-0.0573181031,0.0,FALLING,-0.0307803298,0.0,FALLING,-0.0045959025,0.0,FALLING
2018-01-04,LATE_CYCLE,0.045635377749132885,MID_CYCLE,1.3863070836575293,VALIDATION,0.5883602504445115,0.045635377749132885,0.00644077015829034,0.3595636016480654,0.0454535724,-0.0472407631,RISING,0.0093684236,0.0666865267,RISING,-0.0003739582,0.0304063716,FALLING,-0.0544480379,-0.0498521353,FALLING
2018-01-05,LATE_CYCLE,0.04923410673302708,MID_CYCLE,1.3974452439215148,VALIDATION,0.6264015137441441,0.04923410673302708,0.0064508853470484975,0.3179134941757803,0.0380412633,-0.0074123091,RISING,0.003598729,-0.0057696947,RISING,1.01151e-05,0.0003840734,RISING,-0.0416501074,0.0127979304,FALLING
2018-01-08,LATE_CYCLE,0.03734205376715763,MID_CYCLE,1.4542818781339346,VALIDATION,0.6645693468896633,0.03734205376715763,0.005011780193942137,0.2930768191492369,0.0381678332,0.0001265699,RISING,-0.0118920529,-0.0154907819,FALLING,-0.0014391051,-0.0014492203,FALLING,-0.0248366751,0.0168134324,FALLING
2018-01-09,LATE_CYCLE,0.026266454523950825,MID_CYCLE,1.5074738134784864,VALIDATION,0.6957989101433637,0.026266454523950825,0.003769607298008054,0.27416502803467746,0.0312295632,-0.0069382699,RISING,-0.0110755993,0.0008164537,FALLING,-0.0012421729,0.0001969323,FALLING,-0.0189117911,0.0059248839,FALLING
2018-01-10,LATE_CYCLE,0.026314337217249368,MID_CYCLE,1.5302428666115608,VALIDATION,0.7215563512775643,0.026314337217249368,0.0040996325413357165,0.24802967896385053,0.0257574412,-0.0054721221,RISING,4.78827e-05,0.0111234819,RISING,0.0003300252,0.0015721981,RISING,-0.026135349,-0.0072235579,FALLING
2018-01-11,LATE_CYCLE,0.028093500115435047,MID_CYCLE,1.5481940080203567,VALIDATION,0.7441327651906098,0.028093500115435047,0.004530216511165629,0.22324351818278962,0.0225764139,-0.0031810272,RISING,0.0017791629,0.0017312802,RISING,0.000430584,0.0001005588,RISING,-0.0247861608,0.0013491883,FALLING
2018-01-12,LATE_CYCLE,0.04519792270069134,MID_CYCLE,1.5040461373122098,VALIDATION,0.7410785446435803,0.04519792270069134,0.005958726332366998,0.20776480632336136,-0.0030542206,-0.0256306345,FALLING,0.0171044226,0.0153252597,RISING,0.0014285098,0.0009979258,RISING,-0.0154787119,0.0093074489,FALLING
2018-01-16,LATE_CYCLE,0.030554970612766547,MID_CYCLE,1.5707224022064639,VALIDATION,0.7699388930190438,0.030554970612766547,0.004381455543912295,0.19512468082427734,0.0288603484,0.0319145689,RISING,-0.0146429521,-0.0317473747,FALLING,-0.0015772708,-0.0030057806,FALLING,-0.0126401255,0.0028385864,FALLING
